Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Market
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,
2020-01-02,72.7960205078125,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,AAPL,USA
2020-01-03,72.08830261230469,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,AAPL,USA
2020-01-06,72.66270446777344,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,AAPL,USA
2020-01-07,72.32097625732422,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,AAPL,USA
2020-01-08,73.48436737060547,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,AAPL,USA
2020-01-09,75.04521942138672,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,AAPL,USA
2020-01-10,75.21487426757812,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,AAPL,USA
2020-01-13,76.82177734375,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,AAPL,USA
2020-01-14,75.78443908691406,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,AAPL,USA
2020-01-15,75.45967102050781,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,AAPL,USA
2020-01-16,76.40491485595703,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200,AAPL,USA
2020-01-17,77.25077819824219,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400,AAPL,USA
2020-01-21,76.72725677490234,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200,AAPL,USA
2020-01-22,77.00115203857422,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400,AAPL,USA
2020-01-23,77.37196350097656,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000,AAPL,USA
2020-01-24,77.14898681640625,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600,AAPL,USA
2020-01-27,74.88040161132812,77.23750305175781,77.94249725341797,76.22000122070312,77.51499938964844,161940000,AAPL,USA
2020-01-28,76.99872589111328,79.42250061035156,79.5999984741211,78.04750061035156,78.1500015258789,162234000,AAPL,USA
